"","rownum","Player","Age","Team","Pos","MIN","eFG..Rank","eFG.","Rim.Rank","Rim","Short.Mid.Rank","Short.Mid","Long.Mid.Rank","Long.Mid","All.Mid.Rank","All.Mid","Corner.Three.Rank","Corner.Three","Non.Corner.Rank","Non.Corner","All.Three.Rank","All.Three","Season","Second.year"
"70","1","Jaylen Brown",22,"BOS","Wing",1852,69,"52.80%",63,"63%",67,"41%",47,"37%",58,"40%",15,"30%",72,"37%",46,"35%","2018-2019",2019
"71","1","Lorenzo Brown",28.2,"TOR","Wing",147,6,"39.10%",2,"33%",99,"60%",33,"33%",95,"50%",0,"38%",0,"20%",8,"26%","2018-2019",2019
"72","1","Sterling Brown",23.7,"MIL","Wing",917,89,"56.50%",48,"59%",56,"37%",55,"40%",51,"38%",89,"49%",23,"31%",77,"39%","2018-2019",2019
"73","1","Troy Brown",19.3,"WAS","Wing",641,31,"48.50%",91,"70%",27,"28%",33,"33%",28,"30%",0,"40%",24,"31%",31,"33%","2018-2019",2019
"74","1","Jalen Brunson",22.2,"DAL","Point",1540,76,"52.70%",87,"64%",91,"46%",54,"42%",81,"45%",21,"30%",78,"39%",56,"36%","2018-2019",2019
"75","1","Thomas Bryant",21.3,"WAS","Big",1438,95,"65.30%",98,"80%",73,"46%",68,"40%",73,"43%",0,"17%",71,"37%",47,"34%","2018-2019",2019
"76","1","Reggie Bullock",27.6,"DET","Wing",1352,80,"54.70%",38,"57%",28,"29%",80,"46%",53,"38%",83,"47%",69,"37%",82,"39%","2018-2019",2019
"77","1","Reggie Bullock",27.6,"LAL","Wing",519,67,"52.60%",78,"67%",30,"30%",93,"54%",91,"47%",21,"32%",59,"36%",42,"35%","2018-2019",2019
"78","1","Trey Burke",26,"DAL","Point",407,78,"52.80%",50,"57%",74,"44%",94,"55%",91,"48%",0,"47%",31,"33%",67,"36%","2018-2019",2019
"79","1","Trey Burke",26,"NYK","Point",677,24,"46.50%",44,"57%",43,"37%",39,"39%",41,"38%",0,"13%",80,"39%",63,"36%","2018-2019",2019
"80","1","Alec Burks",27.3,"CLE","Wing",954,23,"47.20%",16,"52%",48,"35%",21,"28%",32,"32%",87,"48%",54,"35%",76,"38%","2018-2019",2019
